Position,Category,Brand,Colour,Main Image,Product Name,Product Link,Current Price,Original Price,Discount
1,Leggings & Jeggings,Lovall,Black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/W_BLACK_WINTERLEGGINGS_S8_AW23_4_1_710x.jpg?v=1706794992,WINTER EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/winter-everyday-high-waisted-leggings-black,£27,£30,10% OFF
2,Leggings & Jeggings,Lovall,Black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EVERYDAY_BLACK_241022_57493_710x.jpg?v=1730735272,EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/everyday-high-waisted-leggings-black,£23.40,£26,10% OFF
3,Leggings & Jeggings,Lovall,Black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_1_45236_710x.jpg?v=1727095365,WINTER FLARE LEGGINGS,https://lovall.com/products/winter-flare-leggings-black,£29.70,£33,10% OFF
4,Leggings & Jeggings,Lovall,Brown,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/W_BLACK_WINTERLEGGINGS_S8_AW23_4_710x.jpg?v=1706795638,WINTER EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/winter-everyday-high-waisted-leggings-espresso-brown,£27,£30,10% OFF
5,Leggings & Jeggings,Lovall,Burgundy,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/W_BURGUNDY_WINTERLEGGINGS_S8_AW23_6_710x.jpg?v=1706795198,WINTER EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/winter-everyday-high-waisted-leggings-burgundy,£27,£30,10% OFF
6,Leggings & Jeggings,Lovall,Brown,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_27_10286_710x.jpg?v=1727184803,WINTER EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/winter-everyday-high-waisted-leggings-black-coffee,£27,£30,10% OFF
7,Leggings & Jeggings,Lovall,Black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EXTREME_FLEECE_BLACK_MARG_4382_710x.jpg?v=1698851187,EXTREME FLEECE LINED LEGGINGS,https://lovall.com/products/extreme-fleece-lined-leggings-black,£32.40,£36,10% OFF
8,Trousers,Lovall,Black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/082_LEATHER_TROUSERS_BLACK_S8_007_710x.jpg?v=1683022606,LEATHER LOOK TROUSERS,https://lovall.com/products/leather-look-trousers-black,£7.50,£30,75% OFF
9,Leggings & Jeggings,Lovall,Black,https://cdn.shopify.com/s/files/1/0014/0306/0312/products/W_Black_EnergiseFullLengthSportsLeggings_1_710x.jpg?v=1654874313,ENERGISE HIGH WAISTED GYM LEGGINGS,https://lovall.com/products/energise-high-waisted-gym-leggings-midnight-black,£21.60,£36,40% OFF
10,Leggings & Jeggings,Lovall,Black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/LOOK_1_030138_710x.jpg?v=1712581124,LIGHTWEIGHT EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/lightweight-everyday-high-waisted-leggings-black,£25.20,£28,10% OFF
11,Leggings & Jeggings,Lovall,Green,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/WINTER_KHAKI_GRACE_2700_85a4bce4-1630-4758-aba3-d6cb48969822_710x.jpg?v=1730129748,WINTER EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/winter-everyday-high-waisted-leggings-deep-olive,£27,£30,10% OFF
12,Leggings & Jeggings,Lovall,Blue,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/WINTER_NAVY_GRACE_4775_710x.jpg?v=1706795746,WINTER EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/winter-everyday-high-waisted-leggings-navy,£27,£30,10% OFF
13,Jeans,Lovall,Blue,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/03_LIFT_AND_SHAPE_JEAN_DARKBLUE_141_710x.jpg?v=1687339208,LIFT & SHAPE JEANS,https://lovall.com/products/lift-shape-jeans-dark-blue,£38.25,£45,15% OFF
14,Leggings & Jeggings,Lovall,Blue,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/W_VINTAGENAVY_WINTERLEGGINGS_S8_AW23_4_1_710x.jpg?v=1696940224,WINTER EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/winter-everyday-high-waisted-leggings-vintage-navy,£27,£30,10% OFF
15,Nightwear & Loungewear,Lovall,Red,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EVERYDAY_LUX_LOUNGE_BURGUNDY_241022_39484_710x.jpg?v=1730800130,LUXE LOUNGE JOGGER,https://lovall.com/products/luxe-lounge-jogger-dark-cherry,£26.25,£35,25% OFF
16,Jeans,Lovall,Black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/034_LIFT_AND_SHAPE_BLACK_020_710x.jpg?v=1686045991,LIFT & SHAPE JEANS,https://lovall.com/products/lift-shape-jeans-black,£38.25,£45,15% OFF
17,Leggings & Jeggings,Lovall,Gray,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/WINTER_DARK_GREY_MARG_3934_710x.jpg?v=1706795330,WINTER EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/winter-everyday-high-waisted-leggings-dark-grey,£27,£30,10% OFF
18,Leggings & Jeggings,Lovall,Green,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/WINTER_FOREST_MARG_3293_710x.jpg?v=1696323931,WINTER EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/winter-everyday-high-waisted-leggings-deep-forest,£27,£30,10% OFF
19,Leggings & Jeggings,Lovall,Blue,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EVERYDAY_NAVY_241022_37618_710x.jpg?v=1730806886,EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/everyday-high-waisted-leggings-navy-blue,£23.40,£26,10% OFF
20,Leggings & Jeggings,Lovall,Blue,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_14_8410_710x.jpg?v=1727172023,WINTER FLARE LEGGINGS,https://lovall.com/products/winter-flare-leggings-vintage-navy,£29.70,£33,10% OFF
21,Leggings & Jeggings,Lovall,Gray,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/WINTER_STONE_GRACE_3149_710x.jpg?v=1706795814,WINTER EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/winter-everyday-high-waisted-leggings-stone,£27,£30,10% OFF
22,Leggings & Jeggings,Lovall,Green,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_16_8573_710x.jpg?v=1727164375,WINTER FLARE LEGGINGS,https://lovall.com/products/winter-flare-leggings-deep-olive,£29.70,£33,10% OFF
23,Leggings & Jeggings,Lovall,Gray,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EVERYDAY_DARK_GREY_241022_57964_710x.jpg?v=1730736718,EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/everyday-high-waisted-leggings-dark-grey-marl,£23.40,£26,10% OFF
24,Nightwear & Loungewear,Lovall,Blue,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/REDCHECK_710x.jpg?v=1697787801,SOFT TOUCH PYJAMA SET,https://lovall.com/products/soft-touch-pyjama-set-navy-check,£18,£36,50% OFF
25,Leggings & Jeggings,Lovall,Black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_16_DANI_35779_710x.jpg?v=1704272112,EMPOWER FLARE LEGGINGS,https://lovall.com/products/empower-flare-leggings-black,£40.50,£45,10% OFF
26,Nightwear & Loungewear,Lovall,Burgundy Check,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/BURGUNDYCHECK_710x.jpg?v=1697787653,PURE COTTON PYJAMA SET,https://lovall.com/products/pure-cotton-pyjama-set-burgundy-check,£18,£36,50% OFF
27,Leggings & Jeggings,Lovall,Black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/LOOK_33_6796_710x.jpg?v=1712588142,ULTIMATE SOFT-TOUCH HIGH WAISTED LEGGINGS,https://lovall.com/products/ultimate-soft-touch-leggings-black,£32,£40,20% OFF
28,Leggings & Jeggings,Lovall,Black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/018_SEAMLESS_SET_BLACK_S8_039_56bb936f-c924-45f9-94e4-4d319fb7706d_710x.jpg?v=1701958220,ULTIMATE HIGH WAISTED SEAMLESS LEGGINGS,https://lovall.com/products/ultimate-high-waisted-seamless-leggings-black,£32.30,£38,15% OFF
29,Leggings & Jeggings,Lovall,Gray,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EVERYDAY_ODY_241022_57787_710x.jpg?v=1730807494,EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/everyday-high-waisted-leggings-odyssey-grey,£23.40,£26,10% OFF
30,Leggings & Jeggings,Lovall,Blue,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/W_DBlue_FLJeggings_1_61d51491-017a-4fe3-9b51-262d971ea2c2_710x.jpg?v=1683641798,JEGGINGS,https://lovall.com/products/newjeggings-dark-blue,£15,£30,50% OFF
31,Nightwear & Loungewear,Lovall,Black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_35_11701_710x.jpg?v=1727166148,LUXE LOUNGE JOGGER,https://lovall.com/products/luxe-lounge-jogger-black,£21,£35,40% OFF
32,Leggings & Jeggings,Lovall,Green,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_5_45650_710x.jpg?v=1727164451,WINTER FLARE LEGGINGS,https://lovall.com/products/winter-flare-leggings-slate-green,£29.70,£33,10% OFF
33,Leggings & Jeggings,Lovall,Burgundy,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_6_0784_710x.jpg?v=1699436069,FOCUS HIGH WAISTED SPORTS LEGGINGS,https://lovall.com/products/focus-high-waisted-sports-leggings-mulberry-plum,£21,£35,40% OFF
34,Leggings & Jeggings,Lovall,Brown,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/LOOK_3_2030_710x.jpg?v=1712582052,LIGHTWEIGHT EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/lightweight-everyday-high-waisted-leggings-espresso-brown,£25.20,£28,10% OFF
35,Jeans,Lovall,Blue,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/MUM_JEAN_LIGHT_BLUE_241022_40894_710x.jpg?v=1730812256,SLIM FIT MOM JEANS,https://lovall.com/products/slim-fit-mom-jeans-mid-blue,£27,£45,40% OFF
36,Leggings & Jeggings,Lovall,Brown,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EVERYDAY_CHOCOLATE_BROWN_241022_38197_710x.jpg?v=1730736574,EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/everyday-high-waisted-leggings-chocolate-brown,£23.40,£26,10% OFF
37,Leggings & Jeggings,Lovall,Black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/RIBBED_BLACK_MARG_2006_710x.jpg?v=1700126099,RIBBED LEGGINGS,https://lovall.com/products/ribbed-leggings-black,£34.20,£38,10% OFF
38,Jeans,Lovall,Blue,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/039_LIFT_AND_SHAPE_MIDBLUE_006-72_710x.jpg?v=1687880541,LIFT & SHAPE JEANS,https://lovall.com/products/lift-shape-jeans-mid-blue,£38.25,£45,15% OFF
39,Leggings & Jeggings,Lovall,Black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EVERYDAY_LEATHER_LEGGING_241022_40617_710x.jpg?v=1730799946,LEATHER LOOK HIGH WAISTED LEGGINGS,https://lovall.com/products/leather-look-high-waisted-leggings-black,£25.50,£34,25% OFF
40,Nightwear & Loungewear,Lovall,Green,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_33_11403_710x.jpg?v=1727164643,LUXE LOUNGE JOGGER,https://lovall.com/products/luxe-lounge-jogger-slate-green,£26.25,£35,25% OFF
41,Nightwear & Loungewear,Lovall,Brown,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_32_11213_710x.jpg?v=1726838716,LUXE LOUNGE JOGGER,https://lovall.com/products/luxe-lounge-jogger-black-coffee,£26.25,£35,25% OFF
42,Leggings & Jeggings,Lovall,Black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/048_NEW_JEGGING_BLACK_004_710x.jpg?v=1683892642,ULTIMATE JEGGINGS,https://lovall.com/products/ultimate-jeggings-black,£32.40,£36,10% OFF
43,Leggings & Jeggings,Lovall,Blue,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_43_12582_8ea0a654-660e-4f67-95c2-0b20293d964e_710x.jpg?v=1726826148,EXTREME FLEECE LINED LEGGINGS,https://lovall.com/products/extreme-fleece-lined-leggings-vintage-navy,£32.40,£36,10% OFF
44,Nightwear & Loungewear,Lovall,Brown,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_26_10175_710x.jpg?v=1727258982,ALL SZN ORGANIC WIDE LEG JOGGER,https://lovall.com/products/all-szn-organic-wide-leg-jogger-black-coffee,£40.50,£45,10% OFF
45,Jeans,Lovall,Blue,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/MUM_JEAN_DARK_BLUE_241022_40780_710x.jpg?v=1730812187,SLIM FIT MOM JEANS,https://lovall.com/products/slim-fit-mom-jeans-dark-blue,£33.75,£45,25% OFF
46,Leggings & Jeggings,Lovall,Gray,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EXTREME_FLEECE_BLACK_GRACE_5029_710x.jpg?v=1698852688,EXTREME FLEECE LINED LEGGINGS,https://lovall.com/products/extreme-fleece-lined-leggings-dark-grey-marl,£32.40,£36,10% OFF
47,Nightwear & Loungewear,Lovall,Gray,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_18_46037_710x.jpg?v=1727261181,ALL SZN ORGANIC WIDE LEG JOGGER,https://lovall.com/products/all-szn-organic-wide-leg-jogger-shadow,£40.50,£45,10% OFF
48,Leggings & Jeggings,Lovall,Khaki,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/W_EverydayHighWaistedLeggings_KhakiGreen_S8_1_710x.jpg?v=1712592378,EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/everyday-high-waisted-leggings-khaki-green,£23.40,£26,10% OFF
49,Nightwear & Loungewear,Lovall,Gray,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/GREYSTRIPE_710x.jpg?v=1697787729,BRUSHED COTTON PYJAMA SET,https://lovall.com/products/brushed-cotton-pyjama-set-grey-stripe,£20.40,£34,40% OFF
50,Jeans,Lovall,Blue,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/075_STRAIGHT_LEG_JEAN_DARKBLUE_030_710x.jpg?v=1687877669,STRAIGHT JEANS,https://lovall.com/products/straight-jeans-dark-blue,£33.75,£45,25% OFF
51,Nightwear & Loungewear,Lovall,Cream,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_28_10527_710x.jpg?v=1727259300,ALL SZN ORGANIC WIDE LEG JOGGER,https://lovall.com/products/all-szn-organic-wide-leg-jogger-ecru,£40.50,£45,10% OFF
52,Nightwear & Loungewear,Lovall,Cream,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_34_11568_710x.jpg?v=1727165298,LUXE LOUNGE JOGGER,https://lovall.com/products/luxe-lounge-jogger-vanilla-marl,£26.25,£35,25% OFF
53,Jeans,Lovall,Blue,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/021_STRAIGHT_LEG_JEAN_MIDBLUE_002_710x.jpg?v=1687342704,STRAIGHT JEANS,https://lovall.com/products/straight-jeans-mid-blue,£33.75,£45,25% OFF
54,Nightwear & Loungewear,Lovall,Black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/RECHARGE_JOGGER_BLACK_241022_40519_710x.jpg?v=1730799639,RECHARGE HIGH WAISTED JOGGERS,https://lovall.com/products/recharge-high-waisted-joggers-midnight-black,£16.50,£33,50% OFF
55,Leggings & Jeggings,Lovall,Brown,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EVERYDAY_BlackAnimalPrint_241022_38553_710x.jpg?v=1730735746,EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/everyday-high-waisted-leggings-black-animal-print,£25.20,£28,10% OFF
56,Leggings & Jeggings,Lovall,Purple,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/WINTER_PURPLE_MARG_3651_710x.jpg?v=1696324196,WINTER EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/winter-everyday-high-waisted-leggings-midnight-plum,£27,£30,10% OFF
57,Nightwear & Loungewear,Lovall,Black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_41_12285_710x.jpg?v=1727167828,SOFT TOUCH WIDE LEG LOUNGE SET,https://lovall.com/products/soft-touch-wide-leg-lounge-set-black,£44.20,£52,15% OFF
58,Leggings & Jeggings,Lovall,Green,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EVERYDAY_FOREST_241022_37721_710x.jpg?v=1730737097,EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/everyday-high-waisted-leggings-forest-green,£23.40,£26,10% OFF
59,Jeans,Lovall,Black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/COATED_JEAN_BLACK_GRACE_5842_710x.jpg?v=1710240422,COATED JEANS,https://lovall.com/products/coated-jeans-black,£26.25,£35,25% OFF
60,Leggings & Jeggings,Lovall,Black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_27_3687_aa06ab4d-9840-4979-ada0-fb2d50729089_710x.jpg?v=1724337240,24/7 REVITALISE HIGH WAISTED LEGGINGS,https://lovall.com/products/247-revitalise-high-waisted-leggings-black,£40.50,£45,10% OFF
61,Leggings & Jeggings,Lovall,Black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_13_DANI_1046_710x.jpg?v=1704272806,EMPOWER LEGGINGS,https://lovall.com/products/empower-leggings-black,£40.50,£45,10% OFF
62,Nightwear & Loungewear,Lovall,Gray,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_20_9462_710x.jpg?v=1727260040,ALL SZN ORGANIC WIDE LEG JOGGER,https://lovall.com/products/all-szn-organic-wide-leg-jogger-light-grey-marl,£40.50,£45,10% OFF
63,Leggings & Jeggings,Lovall,Brown,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/015_SEMALESS_SET_CHOCOLATE_BROWN_S8_045_710x.jpg?v=1688632540,ULTIMATE HIGH WAISTED SEAMLESS LEGGINGS,https://lovall.com/products/ultimate-high-waisted-seamless-leggings-chocolate-brown,£26.60,£38,30% OFF
64,Nightwear & Loungewear,Lovall,Cream,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_42_12461_710x.jpg?v=1727167770,SOFT TOUCH WIDE LEG LOUNGE SET,https://lovall.com/products/soft-touch-wide-leg-lounge-set-oatmeal-beige,£44.20,£52,15% OFF
65,Jeans,Lovall,Black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/024_STRAIGHT_LEG_JEAN_BLACK_003_710x.jpg?v=1687342952,STRAIGHT JEANS,https://lovall.com/products/straight-jeans-black,£33.75,£45,25% OFF
66,Leggings & Jeggings,Lovall,Blue,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/012_SEAMLESS_SET_TEAL_S8_008_710x.jpg?v=1701959848,ULTIMATE HIGH WAISTED SEAMLESS LEGGINGS,https://lovall.com/products/ultimate-high-waisted-seamless-leggings-teal-blue,£22.80,£38,40% OFF
67,Nightwear & Loungewear,Lovall,Green,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_25_10079_9ffcbf62-1203-4487-8cc3-33fca371fc30_710x.jpg?v=1727261951,ALL SZN ORGANIC WIDE LEG JOGGER,https://lovall.com/products/all-szn-organic-wide-leg-jogger-slate-green,£40.50,£45,10% OFF
68,Leggings & Jeggings,Lovall,Black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EVERYDAY_BLACK_TREGGING_241022_40263_710x.jpg?v=1730735588,TREGGINGS,https://lovall.com/products/treggings-black,£20,£25,20% OFF
69,Leggings & Jeggings,Lovall,Gray,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/RIBBED_GREY_GRACE_1895_710x.jpg?v=1700126387,RIBBED LEGGINGS,https://lovall.com/products/ribbed-leggings-shadow-grey,£34.20,£38,10% OFF
70,Leggings & Jeggings,Lovall,Gray,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/051_NEW_JEGGING_GREY_009_710x.jpg?v=1684157227,ULTIMATE JEGGINGS,https://lovall.com/products/jeggings-grey,£36,,
71,Nightwear & Loungewear,Lovall,Green,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_39_12145_710x.jpg?v=1727167912,SOFT TOUCH WIDE LEG LOUNGE SET,https://lovall.com/products/soft-touch-wide-leg-lounge-set-sage-green,£44.20,£52,15% OFF
72,Leggings & Jeggings,Lovall,Green,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_29_10680_710x.jpg?v=1727185206,WINTER EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/winter-everyday-high-waisted-leggings-slate-green,£27,£30,10% OFF
73,Leggings & Jeggings,Lovall,Blue,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/05_NEW_JEGGING_DARKBLUE_021_c20de99e-2092-447e-82ef-d2b021d238d3_710x.jpg?v=1683895937,ULTIMATE JEGGINGS,https://lovall.com/products/ultimate-jeggings-dark-blue,£36,,
74,Leggings & Jeggings,Lovall,Blue,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/045_NEW_JEGGING_MIDBLUE_012_03da2f83-6fc6-4efe-9864-6dac4920df4f_710x.jpg?v=1683898593,ULTIMATE JEGGINGS,https://lovall.com/products/ultimate-jeggings-mid-blue,£32.40,£36,10% OFF
75,Leggings & Jeggings,Lovall,Blue,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/LOOK_16_3925_710x.jpg?v=1713876527,LIGHTWEIGHT FLARE LEGGINGS,https://lovall.com/products/lightweight-flare-leggings-navy,£30,,
76,Leggings & Jeggings,Lovall,Black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_22_3125_051200e0-32b2-4c34-9918-5e20acc573cc_710x.jpg?v=1718698291,24/7 REVITALISE FLARE LEGGINGS,https://lovall.com/products/247-revitalise-flare-leggings-midnight-black,£43.20,£48,10% OFF
77,Leggings & Jeggings,Lovall,Blue,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/LOOK_5_030345_710x.jpg?v=1712583669,LIGHTWEIGHT EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/lightweight-everyday-high-waisted-leggings-navy,£25.20,£28,10% OFF
78,Nightwear & Loungewear,Lovall,Brown,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_10_7635_710x.jpg?v=1727258467,ALL SZN ORGANIC CUFFED JOGGER,https://lovall.com/products/all-szn-organic-cuffed-jogger-black-coffee,£40.50,£45,10% OFF
79,Leggings & Jeggings,Lovall,Cream,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/LOOK_35_7172_710x.jpg?v=1712589770,ULTIMATE SOFT-TOUCH HIGH WAISTED LEGGINGS,https://lovall.com/products/ultimate-soft-touch-leggings-vanilla-marl,£20,£40,50% OFF
80,Leggings & Jeggings,Lovall,Gray,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/LOOK_8_2877_710x.jpg?v=1712584448,LIGHTWEIGHT EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/lightweight-everyday-high-waisted-leggings-dark-grey-marl,£25.20,£28,10% OFF
