Position,Category,Brand,Colour,Product Name,Product Link,Main Image,Current Price,Original Price,Discount,Swatch Image 1,Swatch Image 2,Swatch Image 3
1,Skirts,,Black,PixieGirl Black Coated Split Midi Skirt,https://www.pixiegirl.com/pixiegirl-black-coated-split-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/8996f2d8-a746-4e_225297_A.jpg,£29.99,,,,,
2,Skirts,,Black,PixieGirl Black Sequin Embellished Maxi Skirt,https://www.pixiegirl.com/pixiegirl-black-sequin-embellished-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/366f47b1-2d7f-41_225612_1.jpg,£35,,,https://cdn.pixiegirl.com/Images/ProductImages/Medium/df4c0e2d-4754-42_225611_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/154afdcd-f765-4c_225612_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/154afdcd-f765-4c_225612_X.jpg
3,Skirts,,Black,PixieGirl Black Denim Button Mini Skirt,https://www.pixiegirl.com/blk-button-front-mini-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/a5817439-8857-46_225334_A.jpg,£26.99,,,,,
4,Skirts,,Black,PixieGirl Black Coated Mini Skirt,https://www.pixiegirl.com/pixiegirl-black-coated-mini-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/7756e52a-08bd-49_225132_A.jpg,£22.99,,,,,
5,Skirts,,Black,PixieGirl Black Velvet Rose Detailed Skirt,https://www.pixiegirl.com/flock-skirt-black-225761-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/035f6dec-3501-40_225761_A.jpg,£26.99,,,https://cdn.pixiegirl.com/Images/ProductImages/40291b5a-1700-4e_224492_A.jpg,https://cdn.pixiegirl.com/Images/ProductImages/6724af79-39df-48_224567_224054_L4.jpg,https://cdn.pixiegirl.com/Images/ProductImages/0306d29b-231e-41_224407_224573_L1.jpg
6,Skirts,,Red,PixieGirl Burgundy Red Sequin Embellished Maxi Skirt,https://www.pixiegirl.com/pixiegirl-burgundy-red-sequin-embellished-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/11d8dcd5-a91a-45_BQ4A6916.jpg,£35,,,https://cdn.pixiegirl.com/Images/ProductImages/Medium/154afdcd-f765-4c_225612_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/df4c0e2d-4754-42_225611_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/df4c0e2d-4754-42_225611_X.jpg
7,Skirts,,Blue,PixieGirl Blue Floral Print Tiered Maxi Skirt,https://www.pixiegirl.com/pixiegirl-blue-floral-print-tiered-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/2508fbe6-8eb0-48_225239_A.jpg,£29.99,,,,,
8,Skirts,,Green,PixieGirl Khaki Green Cargo Ruched Midi Skirt,https://www.pixiegirl.com/khk-cargo-ruched-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/7399179c-4500-4f_224995_A.jpg,£26.99,,,https://cdn.pixiegirl.com/Images/ProductImages/40291b5a-1700-4e_224492_A.jpg,https://cdn.pixiegirl.com/Images/ProductImages/6724af79-39df-48_224567_224054_L4.jpg,https://cdn.pixiegirl.com/Images/ProductImages/0306d29b-231e-41_224407_224573_L1.jpg
9,Skirts,,Green,PixieGirl Dark Green Blurred Check Maxi Skirt,https://www.pixiegirl.com/pixiegirl-dark-green-blurred-check-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/5f11a984-cba7-41_225269_A.jpg,£29.99,,,https://cdn.pixiegirl.com/Images/ProductImages/Medium/ebaa76ac-c0c4-49_225268_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/0930283d-502f-47_225269_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/0930283d-502f-47_225269_X.jpg
10,Skirts,,Blue,PixieGirl Blue Denim Ripped Hem Midi Skirt,https://www.pixiegirl.com/pixiegirl-blue-denim-ripped-hem-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/f7320c4c-8ced-4d_224221_L1.jpg,£32.99,,,,,
11,Skirts,,Blue,PixieGirl Navy Blue Crinkle Maxi Skirt,https://www.pixiegirl.com/navy-blue-dbl-bonded-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/e3ec1076-f2a6-40_224790_224160_L1.jpg,£25,,,,,
12,Skirts,,Red,PixieGirl Burgundy Red Faux Leather Fishtail Skirt,https://www.pixiegirl.com/matt-pu-skirt-red-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/153a2fb3-fb82-4c_225841_A.jpg,£24.99,,,,,
13,Skirts,,Blue,PixieGirl Cobalt Blue Satin Midaxi Skirt,https://www.pixiegirl.com/pixiegirl-cobalt-blue-satin-midaxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/0306d29b-231e-41_224407_224573_L1.jpg,£22.99,,,https://cdn.pixiegirl.com/Images/ProductImages/Medium/500eaa93-e83e-41_224492_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/d002d6a1-99af-45_224567_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/67122852-8447-48_224573_X.jpg
14,Skirts,,Gray,PixieGirl Grey Fold Over Ribbed Skirt,https://www.pixiegirl.com/grey-rib-fold-over-skirt-225643-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/dca5a27a-2d5c-47_225643_A.jpg,£22.99,,,,,https://cdn.pixiegirl.com/Images/ProductImages/0306d29b-231e-41_224407_224573_L1.jpg
15,Skirts,,Black,PixieGirl Black Wrap Midi Skirt,https://www.pixiegirl.com/blk-ity-tie-wrap-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/4fdf09c6-b12a-4c_223627_A.jpg,£22.99,,,,,https://cdn.pixiegirl.com/Images/ProductImages/0306d29b-231e-41_224407_224573_L1.jpg
16,Skirts,,Black,PixieGirl Black Cargo Split Hem Maxi Skirt,https://www.pixiegirl.com/pixiegirl-black-cargo-split-hem-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/a1eb4dc9-d5f5-41_223647_A.jpg,£24.99,,,,,https://cdn.pixiegirl.com/Images/ProductImages/0306d29b-231e-41_224407_224573_L1.jpg
17,Skirts,,Blue,PixieGirl Blue Denim Cargo Midi Skirt,https://www.pixiegirl.com/pixiegirl-blue-denim-cargo-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/de6679a1-4a30-49_223500_L1.jpg,£29.99,,,,,
18,Skirts,,Black,PixieGirl Black Denim Split Midi Skirt,https://www.pixiegirl.com/pixiegirl-black-denim-split-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/a9a945c4-00cd-41_223499_AR.jpg,£29.99,,,https://cdn.pixiegirl.com/Images/ProductImages/Medium/47fc105c-c403-48_222933_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/8c65adbd-6a48-43_223811_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/6a128ad8-6c6a-4f_223499_X.jpg
19,Skirts,,Black,PixieGirl Black Plisse Midaxi Skirt,https://www.pixiegirl.com/blk-plisse-midaxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/64db4c8b-54d0-4d_223825_A.jpg,£22.99,,,,,https://cdn.pixiegirl.com/Images/ProductImages/0306d29b-231e-41_224407_224573_L1.jpg
20,Skirts,,Black,PixieGirl Black Ribbed Twist Front Maxi Skirt,https://www.pixiegirl.com/black-twist-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/cfc049f2-d675-49_223944_L1.jpg,£17.99,,,,,https://cdn.pixiegirl.com/Images/ProductImages/0306d29b-231e-41_224407_224573_L1.jpg
21,Skirts,,Purple,PixieGirl Purple Tie Dye Print Mesh Maxi Skirt,https://www.pixiegirl.com/prp-blur-print-maxi-mesh-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/1770629e-806f-41_224029_A.jpg,£24.99,,,,,
22,Skirts,,Black,PixieGirl Black Pleated Mini Skirt,https://www.pixiegirl.com/blk-suba-pleat-mini-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/77d4dd47-6b55-46_225083_14.jpg,£19.99,,,,,
23,Skirts,,Blue,PixieGirl Dark Blue Denim Midi Skirt,https://www.pixiegirl.com/ind-blue-denim-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/a12ba26d-a036-49_223926.jpg,£29.99,,,https://cdn.pixiegirl.com/Images/ProductImages/Medium/47fc105c-c403-48_222933_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/8c65adbd-6a48-43_223811_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/26e5bf4f-1ace-48_223926_X.jpg
24,Skirts,,Blue,PixieGirl Dark Blue Denim Split Maxi Skirt,https://www.pixiegirl.com/dark-blue-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/6e98e453-9a85-49_223731_A.jpg,£34.99,,,https://cdn.pixiegirl.com/Images/ProductImages/Medium/1b23b6ac-0323-4a_223812_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/16e32927-5dd7-40_224317_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/ecb7af23-8cb5-45_223731_X.jpg
25,Skirts,,Black,PixieGirl Black Denim Midi Skirt,https://www.pixiegirl.com/pixiegirl-black-denim-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/a7916dd6-5486-4a_224784%20__70.jpg,£29.99,,,https://cdn.pixiegirl.com/Images/ProductImages/Medium/47fc105c-c403-48_222933_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/26e5bf4f-1ace-48_223926_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/8c65adbd-6a48-43_223811_X.jpg
26,Skirts,,Black,PixieGirl Black Utility Midi Skirt,https://www.pixiegirl.com/pixiegirl-black-utility-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/8498e89e-63d8-47_223925_A.jpg,£29.99,,,,,
27,Skirts,,Black,PixieGirl Black Eyelet Detail Wrap Mini Skirt,https://www.pixiegirl.com/eyelet-mini-skirt-black-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/3c9741e2-0680-4a_224004.jpg,£19.99,,,,,
28,Skirts,,Black,PixieGirl Black Belted Utility Maxi Skirt,https://www.pixiegirl.com/black-belted-utility-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/7476993c-8ddf-4a_224120_A.jpg,£29.99,,,,,
29,Skirts,,Green,PixieGirl Khaki Green Cargo Mini Skirt,https://www.pixiegirl.com/pixiegirl-khaki-green-cargo-mini-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/9edb92b9-9624-45_224117_A.jpg,£26.99,,,https://cdn.pixiegirl.com/Images/ProductImages/Medium/4b87308c-858a-41_224116_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/94e653ea-e995-4a_224117_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/94e653ea-e995-4a_224117_X.jpg
30,Skirts,,Black,PixieGirl Black Denim Split Maxi Skirt,https://www.pixiegirl.com/black-denim-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/6c47cf03-6fbb-4b_223812_A.jpg,£32.99,,,https://cdn.pixiegirl.com/Images/ProductImages/Medium/ecb7af23-8cb5-45_223731_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/16e32927-5dd7-40_224317_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/1b23b6ac-0323-4a_223812_X.jpg
31,Skirts,,Green,PixieGirl Sage Green Ditsy Floral Print Midi Skirt,https://www.pixiegirl.com/sage-ditsy-belted-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/139127d8-3334-42_224627_A.jpg,£22.99,,,https://cdn.pixiegirl.com/Images/ProductImages/Medium/80aa2d3e-7f8d-49_223642_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/bc9fb1a6-c3b7-4a_224627_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/bc9fb1a6-c3b7-4a_224627_X.jpg
32,Skirts,,Black,PixieGirl Black Contrast Waist Maxi Skirt,https://www.pixiegirl.com/blk-contrast-waist-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/3292a5c4-be9b-4e_224365_A.jpg,£24.99,,,,,
33,Skirts,,,PixieGirl Abstract Spot Print Maxi Skirt,https://www.pixiegirl.com/dk-grey-spot-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/4932ad6a-dc34-43_224611_A.jpg,£24.99,,,,,
34,Skirts,,Cream,PixieGirl Beige Brown Utility Mini Skirt,https://www.pixiegirl.com/pixiegirl-beige-brown-utility-mini-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/4560ec9e-b1d0-46_224304_A.jpg,£19.99,,,,,
35,Skirts,,Black,PixieGirl Black Scuba Midi Wrap Skirt,https://www.pixiegirl.com/blk-scuba-wrap-pencil-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/0e5e0873-ca3f-4a_225072_A.jpg,£17.99,,,,,
36,Skirts,,Black,PixieGirl Black Side Split Maxi Skirt,https://www.pixiegirl.com/blk-maxi-skirt-with-split-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/d33fce20-cfe9-4f_224417_A.jpg,£17.99,,,https://cdn.pixiegirl.com/Images/ProductImages/Medium/00ff79b0-a96f-44_225566_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/be5adbfd-6c8c-40_224417_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/be5adbfd-6c8c-40_224417_X.jpg
37,Skirts,,Brown,PixieGirl Natural Brown Denim Split Maxi Skirt,https://www.pixiegirl.com/pixiegirl-natural-brown-denim-split-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/da0668ae-9eed-48_224317_L1.jpg,£32.99,,,https://cdn.pixiegirl.com/Images/ProductImages/Medium/ecb7af23-8cb5-45_223731_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/1b23b6ac-0323-4a_223812_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/16e32927-5dd7-40_224317_X.jpg
38,Skirts,,Blue,PixieGirl Blue Denim Zip Front Midi Skirt,https://www.pixiegirl.com/pixiegirl-blue-denim-zip-front-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/05403ee9-b9a8-47_224381_A.jpg,£32.99,,,,,
39,Skirts,,Yellow,PixieGirl Yellow Ditsy Floral Print Midi Skirt,https://www.pixiegirl.com/yellow-ditsy-belted-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/bcc70517-9e88-40_225289_A.jpg,£22.99,,,https://cdn.pixiegirl.com/Images/ProductImages/Medium/b771cc1e-df84-40_225290_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/c5f8ec22-306e-4a_225289_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/c5f8ec22-306e-4a_225289_X.jpg
40,Skirts,,Blue,PixieGirl Blue Ditsy Floral Print Midi Skirt,https://www.pixiegirl.com/blue-ditsy-belted-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/3d7f99c0-2bc5-43_225290_A.jpg,£22.99,,,https://cdn.pixiegirl.com/Images/ProductImages/Medium/c5f8ec22-306e-4a_225289_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/b771cc1e-df84-40_225290_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/b771cc1e-df84-40_225290_X.jpg
41,Skirts,,Black,PixieGirl Black Crochet Midi Skirt,https://www.pixiegirl.com/blk-crochet-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/69e68181-17f2-40_la.petite.shay_1720809270_3410717823670979065_4558296671.jpg,£29.99,,,,,
42,Skirts,,Green,PixieGirl Green Striped Linen Button Front Midi Skirt,https://www.pixiegirl.com/grn-stripe-button-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/c3d0b8c8-b941-4a_224857_A.jpg,£22.99,,,,,
