Position,Category,Brand,Colour,Product Name,Product Link,Main Image,Current Price,Original Price,Discount,Swatch Image 1,Swatch Image 2,Swatch Image 3
43,Skirts,,Black,PixieGirl Black Ribbed Maxi Tube Skirt,https://www.pixiegirl.com/blk-rib-mini-tube-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/e679ca3d-3d6a-4a_225313_A.jpg,£14.99,,,https://cdn.pixiegirl.com/Images/ProductImages/Medium/e01409a5-aecd-47_225314_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/881e8664-2123-44_225313_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/881e8664-2123-44_225313_X.jpg
44,Skirts,,Brown,PixieGirl Chocolate Brown Ribbed Maxi Tube Skirt,https://www.pixiegirl.com/chocolate-rib-maxi-tube-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/c886e230-fda7-4c_225314_A.jpg,£14.99,,,https://cdn.pixiegirl.com/Images/ProductImages/Medium/881e8664-2123-44_225313_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/e01409a5-aecd-47_225314_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/e01409a5-aecd-47_225314_X.jpg
45,Skirts,,White,PixieGirl White Denim Split Midaxi Skirt,https://www.pixiegirl.com/pixiegirl-white-denim-split-midaxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/2e4addb4-eeda-49_224373_A.jpg,£29.99,,,,,
46,Skirts,,Blue,PixieGirl Navy Blue Paisley Print Tiered Maxi Skirt,https://www.pixiegirl.com/navy-paisley-tiered-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/13006228-f0f6-4a_225295_A.jpg,£26.99,,,,,
47,Skirts,,Brown,PixieGirl Natural Brown Leopard Print Maxi Skirt,https://www.pixiegirl.com/pixiegirl-natural-brown-leopard-print-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/0ef68ebf-0ca2-48_224785%20__12.jpg,£28,,,,,
48,Skirts,,Black,PixieGirl Black Cargo Maxi Skirt,https://www.pixiegirl.com/pixiegirl-black-cargo-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/b479d008-878f-48_225304_A.jpg,£29.99,,,,,
49,Skirts,,Black,PixieGirl Black Faux Leather Mini Skirt,https://www.pixiegirl.com/pixiegirl-blue-black-colour-block-motor-sport-mini-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/4ead394c-9e70-41_225116_47.jpg,£29.99,,,,,
50,Skirts,,Gray,PixieGirl Grey Acid Wash Pleated Midi Skirt,https://www.pixiegirl.com/pixiegirl-grey-acid-wash-pleated-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/f5e55d22-27f2-4f_225218%20__27.jpg,£34.99,,,,,
51,Skirts,,Brown,PixieGirl Brown Acid Wash Midi Skirt,https://www.pixiegirl.com/pixiegirl-brown-acid-wash-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/1f9637b7-87db-48_225215%20__16.jpg,£29.99,,,,,
52,Skirts,,Black,PixieGirl Black Faux Leather Zip Front Mini Skirt,https://www.pixiegirl.com/pixiegirl-black-faux-leather-zip-front-mini-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/8f7ea7af-fc7a-45_225270_A.jpg,£29.99,,,,,
53,Skirts,,Black,PixieGirl Black Faux Leather Side Split Maxi Skirt,https://www.pixiegirl.com/pixiegirl-black-faux-leather-side-split-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/37b9f54e-23a6-44_225131_1.jpg,£29.99,,,,,
54,Skirts,,Black,PixieGirl Black Blurred Check Maxi Skirt,https://www.pixiegirl.com/pixiegirl-black-blurred-check-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/0ddd72a8-0bef-46_225268_A.jpg,£29.99,,,https://cdn.pixiegirl.com/Images/ProductImages/Medium/0930283d-502f-47_225269_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/ebaa76ac-c0c4-49_225268_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/ebaa76ac-c0c4-49_225268_X.jpg
55,Skirts,,Black,PixieGirl Black Lace Fishtail Maxi Skirt,https://www.pixiegirl.com/lace-fishtail-skirt-black-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/b1ef03ad-da46-4f_IMG_7454.jpg,£35,,,,,
56,Skirts,,Blue,PixieGirl Dark Blue Pocket Patch Denim Skirt,https://www.pixiegirl.com/pixiegirl-dark-blue-pocket-patch-denim-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/cfe4061e-97cc-45_225336_A.jpg,£29.99,,,,,
57,Skirts,,Cream,PixieGirl Beige Brown Leopard Print Rose Mesh Skirt,https://www.pixiegirl.com/pixiegirl-beige-brown-leopard-print-rose-mesh-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/d61f3b45-9e15-49_225647_A.jpg,£24.99,,,,,
58,Skirts,,Black,PixieGirl Black Tie Bow Mini Skirt,https://www.pixiegirl.com/pixiegirl-black-tie-bow-mini-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/7632252f-b1ce-4b_225762_A.jpg,£26.99,,,,,
59,Skirts,,Blue,PixieGirl Blue Denim Panel Seam Skirt,https://www.pixiegirl.com/pixiegirl-blue-denim-panel-seam-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/53923f8f-5958-48_225227_A.jpg,£29.99,,,,,
60,Skirts,,Black,PixieGirl Black Denim Button Midi Skirt,https://www.pixiegirl.com/mid-blue-button-front-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/137ebb6b-1cec-4f_225335_A.jpg,£32.99,,,,,
61,Skirts,,Black,PixieGirl Black Stretch Faux Leather Midi Skirt,https://www.pixiegirl.com/blk-pu-knee-length-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/d75fc7f8-dc1f-4b_222535_A.jpg,£10,£17.99,(44% OFF),,,
62,Skirts,,Brown,PixieGirl Brown Midi Knitted Skirt,https://www.pixiegirl.com/chocolate-midi-knitted-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/0492d6b0-79a6-41_223009_223011_L1.jpg,£15,£24.99,(40% OFF),,,
63,Skirts,,Blue,PixieGirl Blue Denim Midi Skirt,https://www.pixiegirl.com/pixiegirl-blue-denim-midi-skirt-p,,£15,£29.50,(49% OFF),https://cdn.pixiegirl.com/Images/ProductImages/Medium/8c65adbd-6a48-43_223811_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/26e5bf4f-1ace-48_223926_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/47fc105c-c403-48_222933_X.jpg
64,Skirts,,Black,PixieGirl Black Spot Print Maxi Skirt,https://www.pixiegirl.com/blk-line-spot-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/87ef3d05-acf2-45_224256_A.jpg,£10,£24.99,(60% OFF),,,
65,Skirts,,Black,PixieGirl Black Cargo Mini Skirt,https://www.pixiegirl.com/pixiegirl-black-cargo-mini-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/d3bf354f-8693-4f_224116_A.jpg,£10,£26.99,(63% OFF),https://cdn.pixiegirl.com/Images/ProductImages/Medium/94e653ea-e995-4a_224117_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/4b87308c-858a-41_224116_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/4b87308c-858a-41_224116_X.jpg
66,Skirts,,Brown,PixieGirl Brown Leopard Print Maxi Skirt,https://www.pixiegirl.com/pixiegirl-brown-leopard-print-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/51854960-0586-4e_223649_L1.jpg,£15,£25,(40% OFF),,,
67,Skirts,,Black,PixieGirl Black Zebra Print Tie Up Skirt,https://www.pixiegirl.com/blk-zebra-bltd-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/4e619cd2-dd08-40_223415_A.jpg,£10,£22.99,(57% OFF),,,
68,Skirts,,Green,PixieGirl Khaki Green Camo Print Stretch Tube Midi Skirt,https://www.pixiegirl.com/grn-camo-print-midi-tube-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/fd14f4a5-cede-4d_223629_A.jpg,£10,£19.99,(50% OFF),,,
69,Skirts,,Black,PixieGirl Black & Grey Check Stretch Midi Skirt,https://www.pixiegirl.com/pixiegirl-black-grey-check-stretch-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/a2c22cde-368e-43_223643_A.jpg,£10,£19.99,(50% OFF),,,
70,Skirts,,Red,PixieGirl Red Leopard Print Midi Skirt,https://www.pixiegirl.com/pixiegirl-red-animal-print-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/27feb616-49e5-41_223642_A.jpg,£10,£22.99,(57% OFF),https://cdn.pixiegirl.com/Images/ProductImages/Medium/bc9fb1a6-c3b7-4a_224627_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/80aa2d3e-7f8d-49_223642_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/80aa2d3e-7f8d-49_223642_X.jpg
71,Skirts,,Black,PixieGirl Black Cargo Ruched Midi Skirt,https://www.pixiegirl.com/pixiegirl-black-cargo-ruched-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/307c9fff-093e-47_223605_A.jpg,£10,£26.99,(63% OFF),https://cdn.pixiegirl.com/Images/ProductImages/Medium/ca5b6aa2-0812-48_224995_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/f0418356-ea6f-47_223605_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/f0418356-ea6f-47_223605_X.jpg
72,Skirts,,Black,PixieGirl Black Midi Pencil Skirt,https://www.pixiegirl.com/petite-black-midi-pencil-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/77687dfb-c9e8-44_222664_A.jpg,£5,£14.99,(67% OFF),,,
73,Skirts,,Green,PixieGirl Green Diagonal Stripe Maxi Skirt,https://www.pixiegirl.com/khk-ity-diagonal-stripe-maxi-sk-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/b019c329-be17-4a_223632_A.jpg,£5,£24.99,(80% OFF),,,
74,Skirts,,Black,PixieGirl Black Ruched Mesh Skirt,https://www.pixiegirl.com/blk-mesh-ruched-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/8d63e675-7821-41_223824_A.jpg,£5,£24.99,(80% OFF),,,
75,Skirts,,Black,PixieGirl Black & Grey Check Stretch Mini Skirt,https://www.pixiegirl.com/petite-black-grey-check-stretch-mini-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/d5f6eb3b-a21a-48_222662_A.jpg,£5,£14.99,(67% OFF),,,
76,Skirts,,Cream,PixieGirl Beige Brown Parachute Maxi Skirt,https://www.pixiegirl.com/petite-beige-brown-parachute-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/58bae054-4dde-45_222794_B.jpg,£10,£26.99,(63% OFF),,,
77,Skirts,,Brown,PixieGirl Brown Animal Print Tiered Maxi Skirt,https://www.pixiegirl.com/pixiegirl-brown-animal-print-tiered-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/ee102da2-37e3-4b_224161_223060_L1.jpg,£10,£29.99,(67% OFF),,,
78,Skirts,,Blue,PixieGirl Blue & Black Colour Block Midaxi Skirt,https://www.pixiegirl.com/blue-colour-block-midaxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/6b794964-c572-4b_223517_A.jpg,£5,£24.99,(80% OFF),,,
79,Skirts,,Green,PixieGirl Green Blur Print Mesh Ruched Midi Skirt,https://www.pixiegirl.com/green-blur-mesh-ruch-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/55078de1-bd11-43_223550-_A.jpg,£5,£24.99,(80% OFF),,,
80,Skirts,,Black,PixieGirl Black Scuba Maxi Skirt,https://www.pixiegirl.com/pixiegirl-black-scuba-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/140cd6d1-6801-48_223630_A.jpg,£10,£19.99,(50% OFF),,,
81,Skirts,,Green,PixieGirl Green Sequin Midi Skirt,https://www.pixiegirl.com/green-sequin-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/aef193c2-f6a3-42_223509_A.jpg,£10,£26.99,(63% OFF),,,
82,Skirts,,Black,PixieGirl Black Twist Front Maxi Skirt,https://www.pixiegirl.com/black-slinky-knot-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/9fa82d7d-0475-42_224001_L1.jpg,£10,£22.99,(57% OFF),,,
83,Skirts,,Cream,PixieGirl Cream Floral Print Tiered Maxi Skirt,https://www.pixiegirl.com/pixiegirl-cream-floral-print-tiered-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/b9eca643-b5a5-4e_224330-224341_L1.jpg,£10,£26.99,(63% OFF),,,
84,Skirts,,Green,PixieGirl Sage Green Abstract Spot Print Midi Skirt,https://www.pixiegirl.com/pixiegirl-sage-green-abstract-spot-print-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/4a7db9ad-9815-42_224581_A.jpg,£10,£24.99,(60% OFF),,,
85,Skirts,,Gray,PixieGirl Grey Satin Midaxi Skirt,https://www.pixiegirl.com/pixiegirl-grey-satin-midaxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/6724af79-39df-48_224567_224054_L4.jpg,£10,£22.99,(57% OFF),https://cdn.pixiegirl.com/Images/ProductImages/Medium/500eaa93-e83e-41_224492_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/d002d6a1-99af-45_224567_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/67122852-8447-48_224573_X.jpg
86,Skirts,,Black,PixieGirl Black Snake Print Satin Midaxi Skirt,https://www.pixiegirl.com/bias-cut-snake-print-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/40291b5a-1700-4e_224492_A.jpg,£10,£23.99,(58% OFF),https://cdn.pixiegirl.com/Images/ProductImages/Medium/500eaa93-e83e-41_224492_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/d002d6a1-99af-45_224567_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/67122852-8447-48_224573_X.jpg
87,Skirts,,Blue,PixieGirl Denim Blue Button Front Midi Skirt,https://www.pixiegirl.com/blue-button-front-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/704465bf-dfda-47_224638_A.jpg,£10,£22.99,(57% OFF),,,
88,Skirts,,Brown,PixieGirl Stone Brown Poplin Maxi Skirt,https://www.pixiegirl.com/pixiegirl-stone-brown-poplin-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/85a11cb1-5213-44_224833_A.jpg,£15,£24.99,(40% OFF),https://cdn.pixiegirl.com/Images/ProductImages/40291b5a-1700-4e_224492_A.jpg,https://cdn.pixiegirl.com/Images/ProductImages/6724af79-39df-48_224567_224054_L4.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/77fdf514-d499-4b_224833_X.jpg
89,Skirts,,Green,PixieGirl Olive Green Poplin Maxi Skirt,https://www.pixiegirl.com/olive-poplim-shirred-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/774c226f-9520-49_224830_A.jpg,£10,£24.99,(60% OFF),https://cdn.pixiegirl.com/Images/ProductImages/40291b5a-1700-4e_224492_A.jpg,https://cdn.pixiegirl.com/Images/ProductImages/6724af79-39df-48_224567_224054_L4.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/bddaef80-cf4c-41_224830_X.jpg
90,Skirts,,Cream,PixieGirl Beige Brown Animal Print Midaxi Skirt,https://www.pixiegirl.com/pixiegirl-beige-brown-animal-print-midaxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/e1f2fb44-88c2-47_225232_A.jpg,£10,£25,(60% OFF),,,
91,Skirts,,Gray,PixieGirl Grey Marl Sweatshirt Maxi Skirt,https://www.pixiegirl.com/pixiegirl-grey-marl-sweatshirt-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/531ddfde-d92c-4d_225737_A.jpg,£24.99,,,https://cdn.pixiegirl.com/Images/ProductImages/Medium/66d0e03c-56c1-40_225735_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/f3bdaddc-ee6e-41_225737_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/f3bdaddc-ee6e-41_225737_X.jpg
92,Skirts,,Blue,PixieGirl Light Blue Denim Seam Midi Skirt,https://www.pixiegirl.com/pixiegirl-light-blue-denim-seam-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/283cee8b-4fcb-41_225337_A.jpg,£29.99,,,https://cdn.pixiegirl.com/Images/ProductImages/40291b5a-1700-4e_224492_A.jpg,https://cdn.pixiegirl.com/Images/ProductImages/6724af79-39df-48_224567_224054_L4.jpg,
